Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8121800;14457621;14388201;2;KU;26;M; ;0;ei henkilövahinkoa;SF ;B           ;8
8788523;15672644;15624311;1;KU;24;M; ;0;ei henkilövahinkoa;AA ;B           ;5
8788523;15672737;15624395;2;KU;68;M; ;0;ei henkilövahinkoa;SF ;AB          ;49
8121187;14456322;14387461;1;KU;23;M; ;L;loukkaantunut;SF ;BEC1EC      ;5
8291956;14771848;14709221;1;MA;30;M; ;0;ei henkilövahinkoa;SF ;            ;
8291956;14771848;14709222;1;KU;38;M; ;0;ei henkilövahinkoa;SF ;B           ;21
8291956;14771849;14709219;2;MA;49;M; ;0;ei henkilövahinkoa;SF ;            ;
8291956;14771849;14709220;2;KU;46;N; ;0;ei henkilövahinkoa;SF ;ABE         ;28
8121480;14457622;14388202;1;KU;26;M; ;0;ei henkilövahinkoa;SF ;B           ;8
8121480;14457623;14388203;2;KU;24;M; ;0;ei henkilövahinkoa;SO ;            ;
8121226;14456323;14387460;1;KU;35;N; ;0;ei henkilövahinkoa;SF ;B           ;13
8121226;14456324;14387459;2;KU;57;N; ;0;ei henkilövahinkoa;SF ;AB          ;40
8292105;14771850;14709218;1;KU;18;M; ;0;ei henkilövahinkoa;   ;            ;
8292105;14771851;14709217;2;KU;40;M; ;0;ei henkilövahinkoa;   ;ABE         ;22
8121481;14457624;14388204;1;KU;69;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;46
8119739;14454005;14383553;2;KU;23;N; ;0;ei henkilövahinkoa;SF ;B           ;
8119739;14454717;14385053;1;KU;59;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;31
8121423;14456325;14387458;1;KU;46;N; ;0;ei henkilövahinkoa;SF ;ABECD       ;5
8121423;14456326;14387456;2;MA;27;M; ;0;ei henkilövahinkoa;SF ;            ;
8121423;14456326;14387457;2;KU;32;N;O;0;ei henkilövahinkoa;SF ;EI          ;15
8121493;14457625;14388019;1;XX;; ; ;-;NA;   ;            ;
8121493;14457626;14388020;2;KU;;N; ;0;ei henkilövahinkoa;SF ;            ;
8120485;14454133;14385850;1;KU;51;N; ;0;ei henkilövahinkoa;SF ;AB          ;30
8120485;14454818;14386036;2;KU;47;M; ;0;ei henkilövahinkoa;E  ;B           ;
8121628;14457627;14388021;1;KU;63;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;44
8121628;14457628;14388022;2;KU;52;N; ;0;ei henkilövahinkoa;PL ;B           ;22
8121570;14457629;14388023;1;KU;49;M; ;0;ei henkilövahinkoa;SF ;BCD         ;15
8121570;14457630;14388024;2;KU;67;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;
8120484;14454689;14384569;2;KU;39;M; ;0;ei henkilövahinkoa;SF ;BECE        ;22
8120484;14456063;14385081;1;KU;63;N; ;0;ei henkilövahinkoa;SF ;AB          ;46
8121748;14457631;14388025;1;KU;28;M; ;0;ei henkilövahinkoa;EV ;B           ;
8121748;14457632;14388026;2;KU;28;M; ;0;ei henkilövahinkoa;SF ;ABC         ;10
8119766;14454118;14384066;1;KU;54;M; ;0;ei henkilövahinkoa;SF ;B           ;
8119766;14455815;14386226;2;KU;30;N; ;0;ei henkilövahinkoa;EV ;ABEC        ;
8121522;14457633;14388027;1;KU;69;M; ;0;ei henkilövahinkoa;SF ;ABE         ;43
8121522;14457634;14388028;2;KU;14;N; ;L;loukkaantunut;   ;            ;
8120450;14453778;14385594;2;KU;64;M; ;0;ei henkilövahinkoa;SF ;BC          ;39
8120450;14454773;14384748;1;KU;62;M; ;0;ei henkilövahinkoa;SF ;AB          ;44
8121571;14457635;14388029;1;KU;68;M; ;0;ei henkilövahinkoa;SF ;ABE         ;47
8121571;14457636;14388030;2;KU;34;M; ;0;ei henkilövahinkoa;SF ;BC          ;16
8120867;14456327;14387455;1;KU;31;M; ;0;ei henkilövahinkoa;   ;ABC         ;14
8120776;14456328;14387454;1;KU;19;N; ;L;loukkaantunut;SF ;B           ;1
8121482;14457637;14388031;1;KU;43;N; ;0;ei henkilövahinkoa;SF ;B           ;25
8121482;14457638;14388032;2;XX;; ; ;-;NA;   ;            ;
8121591;14457639;14388033;1;XX;; ; ;-;NA;   ;            ;
8121591;14457640;14388034;2;KU;72;N; ;0;ei henkilövahinkoa;SF ;ABE         ;48
8121135;14456329;14387451;1;MA;11;M; ;L;loukkaantunut;   ;            ;
8121135;14456329;14387452;1;MA;52;N; ;L;loukkaantunut;   ;            ;
8121135;14456329;14387453;1;KU;58;M; ;L;loukkaantunut;SF ;ABC         ;41
8120605;14453643;14385028;2;KU;52;M; ;0;ei henkilövahinkoa;AA ;BCD         ;9
8120605;14454026;14383950;1;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;5
8121692;14457641;14388035;1;KU;62;M; ;0;ei henkilövahinkoa;SF ;AB          ;43
8121692;14457642;14388036;2;KU;28;M; ;0;ei henkilövahinkoa;SF ;AB          ;11
8292125;14771889;14709216;1;KU;47;N; ;0;ei henkilövahinkoa;SF ;ABE         ;29
8292125;14771890;14709215;2;KU;49;M; ;0;ei henkilövahinkoa;SF ;ABE         ;31
8121531;14457643;14388037;1;KU;64;M; ;0;ei henkilövahinkoa;SF ;ABC         ;40
8121531;14457644;14388038;2;XX;; ; ;-;NA;   ;            ;
8119722;14453892;14383929;2;KU;31;M; ;0;ei henkilövahinkoa;BD ;B           ;
8119722;14455009;14385093;1;KU;66;M; ;0;ei henkilövahinkoa;SF ;ABE         ;43
8121532;14457645;14388039;1;KU;53;M; ;0;ei henkilövahinkoa;   ;ABEC        ;35
8121532;14457646;14388040;2;JK;73;N; ;L;loukkaantunut;   ;            ;
8121756;14457647;14388041;1;KU;44;N; ;0;ei henkilövahinkoa;SF ;BE          ;26
8121756;14457648;14388042;2;KU;22;M; ;0;ei henkilövahinkoa;SF ;B           ;
8121706;14457649;14388043;1;MA;25;N; ;0;ei henkilövahinkoa;SF ;            ;
8121706;14457649;14388044;1;KU;48;N; ;0;ei henkilövahinkoa;SF ;AB          ;30
8121706;14457650;14388045;2;KU;29;M; ;0;ei henkilövahinkoa;IRQ;            ;
8121473;14457651;14388046;1;KU;57;M; ;0;ei henkilövahinkoa;EV ;ABCD        ;
8121473;14457652;14388047;2;KU;51;N; ;0;ei henkilövahinkoa;SF ;AB          ;32
8788500;15672723;15624369;1;KU;39;M; ;0;ei henkilövahinkoa;EV ;B           ;
8788500;15672744;15624281;2;KU;31;M; ;0;ei henkilövahinkoa;SF ;B           ;
8788538;15672699;15624335;2;KU;27;M; ;0;ei henkilövahinkoa;EV ;B           ;
8788538;15672703;15624339;1;KU;52;M; ;0;ei henkilövahinkoa;SF ;ABE         ;34
8121296;14456330;14387449;1;MA;66;N; ;L;loukkaantunut;SF ;            ;
8121296;14456330;14387450;1;KU;68;M; ;L;loukkaantunut;SF ;AB          ;39
8121641;14457653;14388048;1;KU;50;N; ;0;ei henkilövahinkoa;SF ;AB          ;32
8121641;14457656;14388049;4;KU;56;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;38
8121707;14457658;14388050;1;KU;25;M; ;0;ei henkilövahinkoa;SF ;B           ;7
8788488;15672707;15624343;1;KU;23;N; ;0;ei henkilövahinkoa;SF ;B           ;5
8788488;15672743;15624401;2;KU;20;N; ;0;ei henkilövahinkoa;SF ;B           ;
8121642;14457659;14388051;1;MA;28;M; ;0;ei henkilövahinkoa;SF ;            ;
8121642;14457659;14388052;1;KU;48;M; ;0;ei henkilövahinkoa;SF ;            ;
8121642;14457659;14388053;1;MA;23;M; ;0;ei henkilövahinkoa;SF ;            ;
8121642;14457660;14388054;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;
8121592;14457661;14388055;1;KU;21;N; ;0;ei henkilövahinkoa;SF ;            ;
8121326;14456331;14387448;1;KU;23;M; ;0;ei henkilövahinkoa;IRQ;            ;
8121326;14456332;14387447;2;KU;39;N; ;0;ei henkilövahinkoa;SF ;B           ;21
8121326;14456333;14387446;3;KU;35;M; ;0;ei henkilövahinkoa;SF ;B           ;10
8121326;14456334;14387445;4;KU;52;M; ;0;ei henkilövahinkoa;SF ;ABC         ;34
8121327;14456335;14387444;1;KU;18;M; ;0;ei henkilövahinkoa;   ;            ;
8120777;14456336;14387442;1;MA;26;M; ;0;ei henkilövahinkoa;   ;            ;
8120777;14456336;14387443;1;KU;27;N; ;0;ei henkilövahinkoa;   ;            ;
8121643;14457662;14388056;1;KU;44;N; ;0;ei henkilövahinkoa;SF ;B           ;26
8121643;14457663;14388057;2;KU;45;M; ;0;ei henkilövahinkoa;EV ;ABECE       ;
8121533;14457664;14388058;1;XX;; ; ;-;NA;   ;            ;
